stage,pair_id,road_id,layer_role,trunk_mode
Step2,S2:1001432__1019757,1034092,trunk,counterclockwise_loop
Step2,S2:1001432__1019757,39002734,trunk,counterclockwise_loop
Step2,S2:1001432__1019757,502244934,trunk,counterclockwise_loop
Step2,S2:1001432__1019757,506048540,trunk,counterclockwise_loop
Step2,S2:1001432__1019757,604979334,trunk,counterclockwise_loop
Step2,S2:1004423__1029726,517111862,trunk,counterclockwise_loop
Step2,S2:1004423__1029726,62141882,trunk,counterclockwise_loop
Step2,S2:1010472__36944312,1027854,trunk,counterclockwise_loop
Step2,S2:1010472__36944312,15667576,trunk,counterclockwise_loop
Step2,S2:1010472__36944312,49821232,trunk,counterclockwise_loop
Step2,S2:1010472__36944312,628752752,trunk,counterclockwise_loop
Step2,S2:1010487__1019757,619936899,trunk,counterclockwise_loop
Step2,S2:1010487__1019757,72551975,trunk,counterclockwise_loop
Step2,S2:1010487__1019757,72551976,trunk,counterclockwise_loop
Step2,S2:1010487__1019757,74763130,trunk,counterclockwise_loop
Step2,S2:1010487__1019757,74763138,trunk,counterclockwise_loop
Step2,S2:1010487__1019757,992253,trunk,counterclockwise_loop
Step2,S2:1010487__1019757,992258,trunk,counterclockwise_loop
Step2,S2:1029586__1029591,514197870,trunk,counterclockwise_loop
Step2,S2:1029588__1029590,73248867,trunk,counterclockwise_loop
Step2,S2:1029588__1029591,1075083,trunk,counterclockwise_loop
Step2,S2:1029591__1046363,1069111,trunk,counterclockwise_loop
Step2,S2:1046363__58609291,101224595,trunk,counterclockwise_loop
Step2,S2:953144__1010472,1023614,trunk,counterclockwise_loop
Step2,S2:953144__1010472,1088939,trunk,counterclockwise_loop
Step2,S2:953144__1010472,511995651,trunk,counterclockwise_loop
Step2,S2:953144__1010472,517301396,trunk,counterclockwise_loop
Step2,S2:953144__1010472,600104949,trunk,counterclockwise_loop
Step2,S2:953144__1010472,606407394,trunk,counterclockwise_loop
Step2,S2:953144__1010472,68049207,trunk,counterclockwise_loop
Step2,S2:953144__1010472,97267470,trunk,counterclockwise_loop
Step2,S2:953144__1010472,992232,trunk,counterclockwise_loop
Step2,S2:953144__1019746,1029680,trunk,counterclockwise_loop
Step2,S2:953144__1019746,64918605,trunk,counterclockwise_loop
Step2,S2:953144__1029576,1049612,trunk,counterclockwise_loop
Step2,S2:953144__1029576,1049615,trunk,counterclockwise_loop
Step2,S2:953144__1029576,507347808,trunk,counterclockwise_loop
Step2,S2:953144__1029576,508643868,trunk,counterclockwise_loop
Step2,S2:953144__1029576,73248852,trunk,counterclockwise_loop
Step2,S2:953144__38724646,1029652,trunk,counterclockwise_loop
Step2,S2:953144__38724646,1029659,trunk,counterclockwise_loop
Step2,S2:953144__38724646,45034082,trunk,counterclockwise_loop
Step2,S2:953144__38724646,600347379,trunk,counterclockwise_loop
Step4,STEP4:1004423__1029724,625299119,trunk,counterclockwise_loop
Step4,STEP4:1010471__1010472,39002786,trunk,through_collapsed_corridor
Step4,STEP4:1010471__1010472,611611717,trunk,through_collapsed_corridor
Step4,STEP4:1019746__1029726,49603257,trunk,counterclockwise_loop
Step4,STEP4:1019746__1029726,62141864,trunk,counterclockwise_loop
Step4,STEP4:1019837__1026461,1050081,trunk,counterclockwise_loop
Step4,STEP4:1019837__1026461,13292687,trunk,counterclockwise_loop
Step4,STEP4:1029585__1029586,1075078,trunk,counterclockwise_loop
Step4,STEP4:1029585__1029586,39002816,trunk,counterclockwise_loop
Step4,STEP4:1029593__1046363,1067673,trunk,counterclockwise_loop
Step4,STEP4:1029593__1046363,614898426,trunk,counterclockwise_loop
Step4,STEP4:1029725__1029726,505047556,trunk,counterclockwise_loop
Step4,STEP4:1049344__1049345,516783938,trunk,counterclockwise_loop
Step4,STEP4:1049344__1049346,46641132,trunk,counterclockwise_loop
Step4,STEP4:1049344__1049346,46641133,trunk,counterclockwise_loop
Step4,STEP4:1049344__1049346,526784139,trunk,counterclockwise_loop
Step4,STEP4:1049357__58609291,504979388,trunk,counterclockwise_loop
Step4,STEP4:58609291__505587966,621929317,trunk,counterclockwise_loop
Step4,STEP4:953118__1049344,1048070,trunk,counterclockwise_loop
Step4,STEP4:953118__1049344,614989462,trunk,counterclockwise_loop
Step4,STEP4:953133__1029590,39002801,trunk,counterclockwise_loop
Step5A,STEP5A:1001716__1010487,1023609,trunk,counterclockwise_loop
Step5A,STEP5A:1001716__1010487,1053902,trunk,counterclockwise_loop
Step5A,STEP5A:1001716__1010487,65792208,trunk,counterclockwise_loop
Step5A,STEP5A:1001716__1010487,992260,trunk,counterclockwise_loop
Step5A,STEP5A:1001766__1039877,1076898,trunk,counterclockwise_loop
Step5A,STEP5A:1001766__1039877,524227061,trunk,counterclockwise_loop
Step5A,STEP5A:1020138__58172328,1051998,trunk,counterclockwise_loop
Step5A,STEP5A:47215427__612640212,617799404,trunk,counterclockwise_loop
Step5B,STEP5B:1001070__612640212,627793737,trunk,counterclockwise_loop
Step5B,STEP5B:1004746__612640212,627793738,trunk,counterclockwise_loop
Step5B,STEP5B:1007732__1019835,74763092,trunk,counterclockwise_loop
Step5B,STEP5B:1014253__1036655,528876005,trunk,counterclockwise_loop
Step5B,STEP5B:1029592__1040012,1056570,trunk,counterclockwise_loop
Step5B,STEP5B:1029723__58172328,46641179,trunk,counterclockwise_loop
Step5B,STEP5B:21787603__47215427,58271078,trunk,counterclockwise_loop
Step5B,STEP5B:55482321__57718942,43860909,trunk,counterclockwise_loop
Step5B,STEP5B:55482321__57718942,62141891,trunk,counterclockwise_loop
