stage,pair_id,a_node_id,b_node_id,trunk_mode,left_turn_excluded_mode,segment_body_road_count,residual_road_count
Step2,S2:1001344__1007622,1001344,1007622,counterclockwise_loop,strict,1,0
Step2,S2:1004697__602163856,1004697,602163856,counterclockwise_loop,strict,2,5
Step2,S2:1019820__508026986,1019820,508026986,counterclockwise_loop,strict,1,2
Step2,S2:953400__1019789,953400,1019789,counterclockwise_loop,strict,7,8
Step2,S2:953400__994471,953400,994471,counterclockwise_loop,strict,6,12
Step2,S2:994471__1019820,994471,1019820,counterclockwise_loop,strict,2,4
Step2,S2:994471__997474,994471,997474,counterclockwise_loop,strict,6,9
Step2,S2:997474__1026888,997474,1026888,counterclockwise_loop,strict,4,16
Step4,STEP4:1001288__26861766,1001288,26861766,counterclockwise_loop,strict,1,0
Step4,STEP4:1001343__1001344,1001343,1001344,counterclockwise_loop,strict,1,0
Step4,STEP4:1001343__1001346,1001343,1001346,counterclockwise_loop,strict,1,0
Step4,STEP4:1001344__1001346,1001344,1001346,counterclockwise_loop,strict,1,0
Step4,STEP4:1001344__1039680,1001344,1039680,counterclockwise_loop,strict,1,0
Step4,STEP4:1004697__607164244,1004697,607164244,counterclockwise_loop,strict,5,0
Step4,STEP4:1007624__1010525,1007624,1010525,counterclockwise_loop,strict,4,5
Step4,STEP4:1010525__1036730,1010525,1036730,counterclockwise_loop,strict,1,1
Step4,STEP4:1013572__602163856,1013572,602163856,counterclockwise_loop,strict,3,3
Step4,STEP4:1049565__1049773,1049565,1049773,counterclockwise_loop,strict,1,0
Step4,STEP4:1049567__26861766,1049567,26861766,counterclockwise_loop,strict,1,0
Step4,STEP4:25877165__508026986,25877165,508026986,counterclockwise_loop,strict,1,0
Step4,STEP4:29792284__29869139,29792284,29869139,counterclockwise_loop,strict,6,20
Step4,STEP4:953398__1039680,953398,1039680,counterclockwise_loop,strict,1,0
Step4,STEP4:953424__1010525,953424,1010525,counterclockwise_loop,strict,1,0
Step4,STEP4:997470__1019820,997470,1019820,counterclockwise_loop,strict,2,0
Step5,STEP5A:1004697__1019820,1004697,1019820,counterclockwise_loop,strict,2,0
Step5,STEP5A:1023274__620687842,1023274,620687842,counterclockwise_loop,strict,1,0
Step5,STEP5A:1026951__1036730,1026951,1036730,counterclockwise_loop,strict,1,0
Step5,STEP5A:1033247__26090281,1033247,26090281,counterclockwise_loop,strict,1,0
Step5,STEP5A:1033247__602163856,1033247,602163856,counterclockwise_loop,strict,1,0
Step5,STEP5A:506941769__620687842,506941769,620687842,counterclockwise_loop,strict,1,2
Step5,STEP5A:994471__1023274,994471,1023274,counterclockwise_loop,strict,3,0
Step5,STEP5A:994471__506941769,994471,506941769,counterclockwise_loop,strict,1,0
Step5,STEP5B:1023274__612608677,1023274,612608677,counterclockwise_loop,strict,1,0
Step5,STEP5B:1023464__510688043,1023464,510688043,counterclockwise_loop,strict,1,0
Step5,STEP5B:1029961__1029962,1029961,1029962,counterclockwise_loop,strict,1,0
Step5,STEP5B:1033246__1033247,1033246,1033247,counterclockwise_loop,strict,1,0
Step5,STEP5B:38427345__38427346,38427345,38427346,counterclockwise_loop,strict,1,0
Step5,STEP5B:504688142__510688043,504688142,510688043,counterclockwise_loop,strict,1,0
Step5,STEP5B:506941769__607688745,506941769,607688745,counterclockwise_loop,strict,1,0
