stage,pair_id,a_node_id,b_node_id,trunk_mode,left_turn_excluded_mode,segment_body_road_count,residual_road_count
Step2,S2:1013669__1013672,1013669,1013672,counterclockwise_loop,strict,5,2
Step2,S2:1013669__1013674,1013669,1013674,counterclockwise_loop,strict,4,2
Step2,S2:1013669__1013683,1013669,1013683,counterclockwise_loop,strict,7,0
Step2,S2:1013672__612642212,1013672,612642212,counterclockwise_loop,strict,7,2
Step2,S2:1013674__1022939,1013674,1022939,counterclockwise_loop,strict,2,2
Step2,S2:1013675__1026500,1013675,1026500,counterclockwise_loop,strict,2,2
Step2,S2:1013676__1013677,1013676,1013677,counterclockwise_loop,strict,2,2
Step2,S2:1013676__1029504,1013676,1029504,counterclockwise_loop,strict,1,2
Step2,S2:1013677__1026500,1013677,1026500,counterclockwise_loop,strict,1,0
Step2,S2:1013678__1029504,1013678,1029504,counterclockwise_loop,strict,1,0
Step2,S2:1013678__602985475,1013678,602985475,counterclockwise_loop,strict,1,0
Step2,S2:1013683__1013688,1013683,1013688,counterclockwise_loop,strict,5,1
Step2,S2:1013683__1013881,1013683,1013881,counterclockwise_loop,strict,2,0
Step2,S2:1013683__1036050,1013683,1036050,counterclockwise_loop,strict,4,0
Step2,S2:1013688__59620691,1013688,59620691,counterclockwise_loop,strict,2,0
Step2,S2:1013878__23205720,1013878,23205720,counterclockwise_loop,strict,1,0
Step2,S2:1013878__506986811,1013878,506986811,counterclockwise_loop,strict,2,0
Step2,S2:1013916__59620647,1013916,59620647,counterclockwise_loop,strict,2,0
Step2,S2:1016660__59620649,1016660,59620649,counterclockwise_loop,strict,2,0
Step2,S2:1016669__1036050,1016669,1036050,counterclockwise_loop,strict,3,0
Step2,S2:1016669__512613263,1016669,512613263,counterclockwise_loop,strict,5,2
Step2,S2:1016669__59620647,1016669,59620647,counterclockwise_loop,strict,4,2
Step2,S2:1016670__1016671,1016670,1016671,counterclockwise_loop,strict,2,0
Step2,S2:1016670__1019807,1016670,1019807,counterclockwise_loop,strict,4,4
Step2,S2:1019807__15222834,1019807,15222834,counterclockwise_loop,strict,1,0
Step2,S2:1019807__602985475,1019807,602985475,counterclockwise_loop,strict,2,0
Step2,S2:1019883__1026503,1019883,1026503,counterclockwise_loop,strict,2,0
Step2,S2:1019883__1032758,1019883,1032758,counterclockwise_loop,strict,2,0
Step2,S2:1026500__1026503,1026500,1026503,counterclockwise_loop,strict,4,0
Step2,S2:1026500__1029502,1026500,1029502,counterclockwise_loop,strict,1,0
Step2,S2:1026503__1029502,1026503,1029502,counterclockwise_loop,strict,1,0
Step2,S2:1029502__500999945,1029502,500999945,counterclockwise_loop,strict,3,0
Step2,S2:1036050__59620646,1036050,59620646,counterclockwise_loop,strict,2,0
Step2,S2:1036050__613626051,1036050,613626051,counterclockwise_loop,strict,1,0
Step2,S2:15222823__15222826,15222823,15222826,counterclockwise_loop,strict,2,2
Step2,S2:15222823__15222834,15222823,15222834,counterclockwise_loop,strict,1,0
Step2,S2:15222823__23205720,15222823,23205720,counterclockwise_loop,strict,1,0
Step2,S2:15222829__512613263,15222829,512613263,counterclockwise_loop,strict,2,0
Step2,S2:23205719__23205720,23205719,23205720,counterclockwise_loop,strict,3,0
Step2,S2:23205719__520640202,23205719,520640202,counterclockwise_loop,strict,2,0
Step2,S2:23205720__54265661,23205720,54265661,counterclockwise_loop,strict,2,0
Step2,S2:501236441__505988840,501236441,505988840,counterclockwise_loop,strict,3,0
Step2,S2:59620691__623856687,59620691,623856687,counterclockwise_loop,strict,4,2
Step2,S2:612642212__623856687,612642212,623856687,counterclockwise_loop,strict,2,2
Step2,S2:613626032__613626051,613626032,613626051,counterclockwise_loop,strict,2,0
Step4,STEP4:1013669__1036086,1013669,1036086,counterclockwise_loop,strict,5,0
Step4,STEP4:1013675__1013676,1013675,1013676,counterclockwise_loop,strict,3,0
Step4,STEP4:1013675__506986811,1013675,506986811,counterclockwise_loop,strict,2,0
