stage,pair_id,a_node_id,b_node_id,trunk_mode,left_turn_excluded_mode,segment_body_road_count,residual_road_count
Step2,S2:1001660__1026888,1001660,1026888,counterclockwise_loop,strict,6,10
Step2,S2:1001661__1029909,1001661,1029909,counterclockwise_loop,strict,6,2
Step2,S2:1001661__1029915,1001661,1029915,counterclockwise_loop,strict,2,0
Step2,S2:1004300__1032602,1004300,1032602,counterclockwise_loop,strict,4,0
Step2,S2:1004313__62569870,1004313,62569870,counterclockwise_loop,strict,1,0
Step2,S2:1005091__1049570,1005091,1049570,counterclockwise_loop,strict,2,0
Step2,S2:1019827__1019848,1019827,1019848,counterclockwise_loop,strict,3,0
Step2,S2:1019827__62569870,1019827,62569870,counterclockwise_loop,strict,2,0
Step2,S2:1019832__1029630,1019832,1029630,counterclockwise_loop,strict,2,0
Step2,S2:1019848__1029909,1019848,1029909,counterclockwise_loop,strict,7,2
Step2,S2:1032602__509398477,1032602,509398477,counterclockwise_loop,strict,2,3
Step2,S2:1033088__603988368,1033088,603988368,counterclockwise_loop,strict,1,4
Step2,S2:1036077__56922710,1036077,56922710,counterclockwise_loop,strict,1,0
Step2,S2:1049769__74155507,1049769,74155507,counterclockwise_loop,strict,1,3
Step2,S2:56922706__56922707,56922706,56922707,counterclockwise_loop,strict,2,2
Step2,S2:56922707__56922710,56922707,56922710,counterclockwise_loop,strict,1,0
Step2,S2:62569870__62569871,62569870,62569871,counterclockwise_loop,strict,1,0
Step2,S2:994446__994447,994446,994447,counterclockwise_loop,strict,2,0
Step2,S2:994449__1004300,994449,1004300,counterclockwise_loop,strict,2,0
Step2,S2:994449__1019848,994449,1019848,counterclockwise_loop,strict,6,0
Step2,S2:994449__1036077,994449,1036077,counterclockwise_loop,strict,4,2
Step2,S2:994589__1033088,994589,1033088,counterclockwise_loop,strict,1,2
Step2,S2:997435__1001660,997435,1001660,counterclockwise_loop,strict,6,6
Step2,S2:997435__1019827,997435,1019827,counterclockwise_loop,strict,6,4
Step2,S2:997435__1029909,997435,1029909,counterclockwise_loop,strict,7,2
Step2,S2:997438__1005091,997438,1005091,counterclockwise_loop,strict,4,4
Step2,S2:997438__1029909,997438,1029909,counterclockwise_loop,strict,8,5
Step2,S2:997438__74155507,997438,74155507,counterclockwise_loop,strict,4,3
Step4,STEP4:1004306__56922706,1004306,56922706,counterclockwise_loop,strict,1,0
Step4,STEP4:1004308__1004309,1004308,1004309,counterclockwise_loop,strict,1,0
Step4,STEP4:1005083__1005084,1005083,1005084,counterclockwise_loop,strict,2,0
Step4,STEP4:1005083__1005085,1005083,1005085,counterclockwise_loop,strict,2,0
Step4,STEP4:1005083__38626267,1005083,38626267,counterclockwise_loop,strict,2,0
Step4,STEP4:1007613__1049769,1007613,1049769,counterclockwise_loop,strict,3,0
Step4,STEP4:1019827__1019832,1019827,1019832,counterclockwise_loop,strict,2,0
Step4,STEP4:1019832__62569871,1019832,62569871,counterclockwise_loop,strict,1,0
Step4,STEP4:1029630__62569871,1029630,62569871,counterclockwise_loop,strict,1,0
Step4,STEP4:1029684__1033088,1029684,1033088,counterclockwise_loop,strict,2,0
Step4,STEP4:1036264__56922710,1036264,56922710,counterclockwise_loop,strict,1,0
Step4,STEP4:1042853__1049769,1042853,1049769,counterclockwise_loop,strict,1,0
Step4,STEP4:38626155__509398477,38626155,509398477,counterclockwise_loop,strict,1,0
Step4,STEP4:56922702__56922706,56922702,56922706,counterclockwise_loop,strict,2,0
Step4,STEP4:56922716__56922718,56922716,56922718,counterclockwise_loop,strict,2,0
Step4,STEP4:62570130__603988368,62570130,603988368,counterclockwise_loop,strict,2,0
Step4,STEP4:994446__1029915,994446,1029915,counterclockwise_loop,strict,2,0
Step4,STEP4:994447__74155507,994447,74155507,counterclockwise_loop,strict,2,0
Step4,STEP4:994449__1049570,994449,1049570,counterclockwise_loop,strict,2,0
Step5,STEP5A:12843228__38626270,12843228,38626270,counterclockwise_loop,strict,1,0
Step5,STEP5B:1004299__606256902,1004299,606256902,counterclockwise_loop,strict,1,0
Step5,STEP5B:1020350__21673663,1020350,21673663,counterclockwise_loop,strict,2,0
Step5,STEP5B:38626164__38626165,38626164,38626165,counterclockwise_loop,strict,1,0
Step5,STEP5B:509256873__600257262,509256873,600257262,counterclockwise_loop,strict,1,0
